"","Combo","Count"
"329","how many",5
"330","how they",1
"331","i and",2
"332","i one",1
"333","in there",2
"334","it how",1
"335","keep coming",1
"336","keeping away",1
"337","laurelwood staff",1
"338","many others",1
"339","mine refuse",1
"340","names keep",1
"341","not the",1
"342","of how",1
"343","of it",2
"344","of mine",1
"345","often as",1
"346","one can",1
"347","only guess",1
"348","other friends",1
"349","others there",1
"350","refuse to",2
"351","same names",1
"352","similar stories",1
"353","staff and",1
"354","step foot",1
"355","stories of",1
"356","telling i",1
"357","the same",1
"358","there ever",1
"359","there telling",1
"360","they were",3
"361","to step",1
"362","treated brusquely",1
"363","up about",1
"364","were treated",1
"365","a complete",1
"366","afforded the",1
"367","although our",1
"368","approximated their",1
"369","be imitated",1
"370","beloved cantab",1
"371","by nothing",1
"372","can be",5
"373","can claim",1
"374","cantab can",1
"375","claim the",1
"376","complete lack",1
"377","distance they",1
"378","imitated or",1
"379","inn otherwise",1
"380","international recognition",1
"381","joints feel",1
"382","lack of",1
"383","like twins",1
"384","makes them",1
"385","more than",1
"386","nothing more",1
"387","of pretense",1
"388","or approximated",1
"389","ordinariness makes",1
"390","otherwise these",1
"391","our beloved",1
"392","pretense that",1
"393","recognition afforded",1
"394","separated by",2
"395","share a",1
"396","station inn",1
"397","than distance",1
"398","that can",1
"399","the international",1
"400","the station",1
"401","their very",1
"402","them special",1
"403","these two",1
"404","they share",1
"405","twins separated",1
"406","two joints",1
"407","very ordinariness",1
"408","a disaster",1
"409","a lot",4
"410","afford to",1
"411","all the",3
"412","also get",1
"413","america there",1
"414","americans when",1
"415","an impetus",2
"416","and they",2
"417","are not",1
"418","as an",2
"419","as far",1
"420","as loss",1
"421","bad as",1
"422","bad for",1
"423","be a",4
"424","be an",1
"425","be used",1
"426","blame it",1
"427","but we",2
"428","but whether",1
"429","buy stuff",1
"430","can afford",1
"431","capitalism on",1
"432","causing the",1
"433","claim we",1
"434","could also",1
"435","could be",3
"436","deal with",1
"437","dealing with",1
"438","disaster or",1
"439","do the",1
"440","far as",1
"441","first we",1
"442","for more",1
"443","for most",2
"444","freedom and",1
"445","get rid",1
"446","get very",1
"447","go way",1
"448","got some",1
"449","government it",1
"450","hard to",1
"451","have to",2
"452","here in",1
"453","impetus for",1
"454","impetus to",1
"455","in america",1
"456","individual liberty",1
"457","it could",3
"458","it on",2
"459","it will",3
"460","liberty a",1
"461","look pretty",1
"462","loss of",1
"463","lot of",4
"464","make the",1
"465","more government",1
"466","more regulation",1
"467","most americans",1
"468","need more",1
"469","not dealing",1
"470","of all",5
"471","of individual",1
"472","of pain",1
"473","of people",3
"474","on capitalism",1
"475","on freedom",1
"476","only make",1
"477","or it",1
"478","or the",1
"479","pain first",1
"480","people will",1
"481","peter schiff",1
"482","pretty bad",1
"483","prices will",1
"484","problem but",1
"485","problems we",2
"486","problems worse",1
"487","regulation that",1
"488","regulation which",1
"489","rid of",1
"490","right or",1
"491","schiff hard",1
"492","serious problems",1
"493","some serious",1
"494","stuff it",1
"495","tell it",1
"496","that was",2
"497","the problem",2
"498","the problems",2
"499","the regulation",1
"500","the right",1
"501","the wrong",1
"502","there will",1
"503","they can",1
"504","they will",1
"505","thing here",1
"506","to buy",2
"507","to deal",1
"508","to tell",2
"509","up and",1
"510","used as",1
"511","very bad",2
"512","was causing",1
"513","way up",1
"514","we are",1
"515","we got",2
"516","we have",2
"517","we need",1
"518","we only",1
"519","we will",2
"520","when prices",1
"521","whether we",1
"522","which would",1
"523","will be",2
"524","will blame",1
"525","will claim",1
"526","will do",2
"527","will go",1
"528","will look",1
"529","with but",1
"530","would be",2
"531","wrong thing",1
"532","a result",1
"533","a time",2
"534","a tremendously",1
"535","about by",1
"536","about whatever",1
"537","all kinds",1
"538","all sleeps",1
"539","also a",1
"540","an image",1
"541","an imbalanced",1
"542","and designs",2
"543","and ideas",1
"544","and to",1
"545","answers for",1
"546","artists of",1
"547","as a",4
"548","ask that",1
"549","balance can",1
"550","balance coming",1
"551","be presented",1
"552","being winter",1
"553","best time",1
"554","brought about",1
"555","by winter",1
"556","challenge you",1
"557","changes will",1
"558","chosen so",1
"559","come up",1
"560","coming to",1
"561","concerns you",1
"562","contact with",1
"563","creative time",1
"564","designs brought",1
"565","designs we",1
"566","do so",1
"567","do this",3
"568","for artists",1
"569","for yourself",1
"570","forms he",1
"571","get answers",1
"572","he or",1
"573","i winter",1
"574","ideas that",1
"575","image of",1
"576","images and",1
"577","images of",1
"578","images you",1
"579","imbalanced situation",1
"580","in whatever",1
"581","in your",1
"582","innermost being",1
"583","is a",3
"584","is also",1
"585","is the",3
"586","it is",4
"587","kinds to",1
"588","level it",1
"589","like priscilla",1
"590","make contact",1
"591","making patterns",1
"592","manifest in",1
"593","medium chosen",1
"594","of balance",2
"595","of forms",1
"596","of turning",1
"597","of you",2
"598","on some",2
"599","or she",1
"600","or world",1
"601","own environment",1
"602","own innermost",1
"603","patterns and",1
"604","person or",1
"605","plots and",1
"606","presented those",1
"607","priscilla work",1
"608","produce in",1
"609","produce we",1
"610","remember the",1
"611","result get",1
"612","say remember",1
"613","see what",1
"614","seek images",1
"615","she wishes",1
"616","situation person",1
"617","sleeps on",1
"618","so that",1
"619","so to",1
"620","some level",1
"621","speak of",1
"622","suggest that",1
"623","that an",1
"624","that will",1
"625","that write",1
"626","that you",3
"627","the best",2
"628","the time",1
"629","this and",3
"630","this in",1
"631","those of",2
"632","time a",1
"633","time for",1
"634","time of",1
"635","time to",1
"636","time when",1
"637","to an",1
"638","to produce",1
"639","to see",1
"640","to seek",1
"641","to those",1
"642","to turn",1
"643","tremendously creative",1
"644","turn within",1
"645","turning within",1
"646","up with",2
"647","we ask",1
"648","we suggest",1
"649","we would",1
"650","what changes",1
"651","whatever concerns",1
"652","whatever medium",1
"653","when all",1
"654","white will",1
"655","who like",1
"656","will challenge",1
"657","will manifest",1
"658","will speak",1
"659","winter is",2
"660","winter white",1
"661","wishes to",1
"662","with making",1
"663","with plots",1
"664","with your",1
"665","within and",1
"666","within to",1
"667","work with",1
"668","world to",1
"669","would say",1
"670","write we",1
"671","you do",4
"672","you it",1
"673","you produce",1
"674","you that",1
"675","you to",1
"676","you who",1
"677","your own",3
"678","yourself about",1
"679","a bad",1
"680","a job",1
"681","a tourist",1
"682","again i",1
"683","always a",1
"684","am route",1
"685","and sea",1
"686","and sun",1
"687","back from",1
"688","bad thing",1
"689","before i",1
"690","bills before",1
"691","bringing my",1
"692","cancel bills",1
"693","cornwall again",1
"694","doing in",1
"695","friday will",1
"696","from i",1
"697","from millies",1
"698","i months",1
"699","i on",1
"700","i retreat",1
"701","im bringing",1
"702","in a",6
"703","job needs",1
"704","leeds with",1
"705","millies that",1
"706","months of",1
"707","move on",1
"708","moved to",1
"709","my stuff",1
"710","needs doing",1
"711","not such",1
"712","nowhere move",1
"713","of slog",1
"714","on friday",1
"715","promise from",1
"716","retreat not",1
"717","route to",1
"718","sea too",1
"719","slog and",1
"720","stuff back",1
"721","such a",2
"722","sun and",1
"723","that went",1
"724","thing moved",1
"725","to cancel",1
"726","to cornwall",1
"727","to leeds",1
"728","too always",1
"729","tourist town",1
"730","town im",1
"731","went nowhere",1
"732","will need",1
"733","with promise",1
"734","and dark",1
"735","and for",1
"736","and no",1
"737","assam no",1
"738","dark with",1
"739","do that",2
"740","for goodness",1
"741","frills and",1
"742","fruit mixers",1
"743","goodness sake",1
"744","herby frills",1
"745","i want",2
"746","it strong",1
"747","large leaf",1
"748","leaf assam",1
"749","leaf thank",1
"750","mixers and",1
"751","no fruit",1
"752","no herby",1
"753","no sweetener",1
"754","no waffling",1
"755","pure large",1
"756","sake no",1
"757","strong and",1
"758","sweetener why",1
"759","thank you",1
"760","that to",1
"761","the leaf",1
"762","to tea",1
"763","waffling with",1
"764","want it",1
"765","why would",1
"766","with no",2
"767","would you",1
"768","a planning",1
"769","adjacent np",1
"770","again was",1
"771","all lighting",1
"772","also mention",1
"773","an issue",1
"774","and when",1
"775","appropriate times",1
"776","at appropriate",1
"777","be the",1
"778","by lancing",1
"779","condition to",1
"780","council the",1
"781","dark skies",1
"782","dome should",1
"783","effect on",1
"784","ensure that",1
"785","football pitch",1
"786","ignore by",1
"787","in our",1
"788","including that",1
"789","indoor football",1
"790","is only",2
"791","issue we",1
"792","lancing parish",1
"793","lighting including",1
"794","mention the",1
"795","necessary to",1
"796","night sky",1
"797","of a",6
"798","only utilised",1
"799","our report",1
"800","parish council",1
"801","pitch dome",1
"802","planning condition",1
"803","raised in",1
"804","report which",1
"805","safeguard the",1
"806","should be",2
"807","skies of",1
"808","sky an",1
"809","subject of",1
"810","that it",2
"811","that of",1
"812","the adjacent",1
"813","the also",1
"814","the dark",1
"815","the effect",1
"816","the indoor",1
"817","the night",1
"818","the subject",1
"819","the use",1
"820","times and",1
"821","to ensure",1
"822","to safeguard",1
"823","use of",1
"824","utilised at",1
"825","was ignore",1
"826","we raised",1
"827","when necessary",1
"828","which again",1
"829","contracts worth",1
"830","i million",1
"831","million ringgit",1
"832","over i",1
"833","state contracts",1
"834","worth over",1
"835","are unknowing",1
"836","by love",1
"837","by your",1
"838","fairytale by",1
"839","like you",1
"840","of things",1
"841","own fairytale",1
"842","people like",1
"843","protected by",1
"844","things protected",1
"845","transformers of",1
"846","unknowing transformers",1
"847","you are",2
"848","a few",4
"849","able to",3
"850","about i",1
"851","all phenomenal",1
"852","also super",1
"853","amazing bunch",1
"854","an amazing",1
"855","and a",4
"856","and remaining",1
"857","and supportive",1
"858","and very",1
"859","area were",1
"860","astounding though",1
"861","being out",1
"862","bunch owing",1
"863","cheery and",1
"864","closed roads",1
"865","course and",2
"866","few closed",1
"867","few people",1
"868","for being",1
"869","for so",1
"870","from the",2
"871","i or",1
"872","i they",1
"873","i times",1
"874","knew the",1
"875","long and",1
"876","marshals i",1
"877","meant that",1
"878","nature of",1
"879","one thing",1
"880","or i",1
"881","out in",1
"882","owing to",1
"883","people were",1
"884","phenomenal for",1
"885","rain for",1
"886","remaining so",1
"887","roads meant",1
"888","seen about",1
"889","skip around",1
"890","so cheery",1
"891","so long",1
"892","support from",1
"893","supporters who",1
"894","supportive they",1
"895","that supporters",1
"896","the area",1
"897","the course",2
"898","the marshals",1
"899","the nature",1
"900","the one",1
"901","the rain",1
"902","the support",1
"903","thing that",1
"904","though was",1
"905","times which",1
"906","to skip",1
"907","to the",6
"908","very few",1
"909","was also",1
"910","was astounding",1
"911","was the",1
"912","were able",1
"913","were all",1
"914","were an",1
"915","were seen",1
"916","which was",1
"917","who knew",1
"918","a joy",1
"919","an end",1
"920","attend our",1
"921","end to",1
"922","friend kendra",1
"923","i such",1
"924","joy to",1
"925","kendra wedding",1
"926","of waiting",1
"927","our friend",1
"928","people see",1
"929","see an",1
"930","to years",1
"931","watch people",1
"932","we attend",1
"933","wedding i",1
"934","years of",2
"935","a car",1
"936","a colorful",1
"937","a journalist",1
"938","a memorable",1
"939","a mute",1
"940","a neighbor",1
"941","a small",1
"942","a train",1
"943","adopted by",1
"944","although he",1
"945","and killed",1
"946","and kind",1
"947","and was",2
"948","another orphan",1
"949","anything by",1
"950","author fireflies",1
"951","before a",1
"952","before although",1
"953","boy pushed",1
"954","by charles",1
"955","by martin",1
"956","by unc",1
"957","car on",1
"958","character chase",1
"959","charles martin",1
"960","chase a",1
"961","chase is",1
"962","chasing fireflies",1
"963","colorful resident",1
"964","custodial parent",1
"965","favorite author",1
"966","fireflies by",1
"967","fireflies is",1
"968","georgia town",1
"969","he was",2
"970","heart make",1
"971","him a",1
"972","his loser",1
"973","his parents",1
"974","hit and",1
"975","i never",1
"976","investigating the",1
"977","is investigating",1
"978","journalist who",1
"979","just before",1
"980","killed his",1
"981","kind heart",1
"982","knew his",1
"983","loser custodial",1
"984","make him",1
"985","martin before",1
"986","martin i",1
"987","memorable character",1
"988","mute boy",1
"989","neighbor favorite",1
"990","neighbor recommended",1
"991","never knew",1
"992","never read",1
"993","of another",1
"994","of chase",1
"995","on train",1
"996","one a",1
"997","orphan this",1
"998","out of",1
"999","parents and",1
"1000","pushed out",1
"1001","read anything",1
"1002","recommended chasing",1
"1003","resident of",1
"1004","sayings and",1
"1005","small georgia",1
"1006","story of",2
"1007","the story",2
"1008","this neighbor",1
"1009","this one",4
"1010","town whose",1
"1011","tracks just",1
"1012","train hit",1
"1013","train tracks",1
"1014","unc a",1
"1015","was adopted",1
"1016","was this",1
"1017","who never",1
"1018","whose sayings",1
"1019","by ellen",1
"1020","ellen hopkins",1
"1021","fallout by",1
"1022","hopkins p",1
"1023","a midsized",1
"1024","a populated",1
"1025","again obama",1
"1026","al refuse",1
"1027","announces that",1
"1028","area with",1
"1029","atomic bombs",1
"1030","be detonated",1
"1031","bombs that",1
"1032","city tens",1
"1033","detonated in",2
"1034","device is",1
"1035","device will",1
"1036","die think",1
"1037","either obamacongress",1
"1038","ended wwii",1
"1039","et al",1
"1040","etc give",1
"1041","give in",1
"1042","group announces",1
"1043","in or",1
"1044","is detonated",1
"1045","likely refuse",1
"1046","major city",1
"1047","midsized to",1
"1048","more likely",1
"1049","next device",1
"1050","no warning",1
"1051","obama et",1
"1052","obamacongress etc",1
"1053","of thousands",1
"1054","or more",1
"1055","populated area",1
"1056","refuse the",1
"1057","submit this",1
"1058","tens of",1
"1059","that ended",1
"1060","that the",5
"1061","the atomic",1
"1062","the device",1
"1063","the group",1
"1064","the next",1
"1065","think the",1
"1066","this time",1
"1067","thousands die",1
"1068","time the",1
"1069","to major",1
"1070","to submit",1
"1071","warning again",1
"1072","a bit",2
"1073","a clash",1
"1074","a long",1
"1075","a month",1
"1076","a new",1
"1077","about tolkien",1
"1078","all is",1
"1079","all my",1
"1080","am happy",1
"1081","am just",1
"1082","am loving",1
"1083","an opportunity",1
"1084","and enjoy",1
"1085","and his",1
"1086","and i",8
"1087","and if",1
"1088","and margarita",1
"1089","and thats",1
"1090","april gave",1
"1091","april was",1
"1092","as for",1
"1093","as i",3
"1094","as you",1
"1095","be graduating",1
"1096","be returning",1
"1097","been working",1
"1098","began moving",1
"1099","began several",1
"1100","beginnings firstly",1
"1101","bit later",1
"1102","bit nervewrecking",1
"1103","books the",1
"1104","books ve",1
"1105","boyfriend of",1
"1106","business degree",1
"1107","but i",4
"1108","clash of",1
"1109","concerning the",1
"1110","considering all",1
"1111","degree ve",1
"1112","easy to",1
"1113","enjoy a",1
"1114","even though",1
"1115","exams and",1
"1116","experience for",1
"1117","far and",1
"1118","fears about",1
"1119","feels weird",1
"1120","fellowship of",1
"1121","few liberties",1
"1122","few stories",1
"1123","finally began",1
"1124","finally finished",1
"1125","finally mine",1
"1126","find that",2
"1127","finished much",1
"1128","finished my",1
"1129","first russian",1
"1130","firstly i",1
"1131","for a",2
"1132","for four",1
"1133","for it",1
"1134","for later",1
"1135","for new",1
"1136","for reading",1
"1137","four years",3
"1138","gave me",1
"1139","good ill",1
"1140","graduating in",1
"1141","had to",1
"1142","happy with",1
"1143","have not",1
"1144","have successfully",1
"1145","hefty novels",1
"1146","his writing",1
"1147","i finally",2
"1148","i find",1
"1149","i had",3
"1150","i should",1
"1151","if all",1
"1152","ill be",1
"1153","im in",1
"1154","in may",1
"1155","in with",2
"1156","is finally",1
"1157","is good",1
"1158","is my",1
"1159","is surprisingly",1
"1160","it a",1
"1161","it i",1
"1162","it still",1
"1163","its surprisingly",1
"1164","job secondly",1
"1165","just not",1
"1166","kings even",1
"1167","know that",3
"1168","last week",1
"1169","later as",1
"1170","liberties concerning",1
"1171","long time",1
"1172","looking for",1
"1173","loving a",1
"1174","made so",1
"1175","margarita is",1
"1176","master and",1
"1177","may it",1
"1178","me an",1
"1179","mine so",1
"1180","month for",1
"1181","mood for",1
"1182","moving in",1
"1183","much but",1
"1184","my boyfriend",1
"1185","my exams",1
"1186","my fears",1
"1187","my first",1
"1188","my virginia",1
"1189","nervewrecking as",1
"1190","new beginnings",1
"1191","new job",1
"1192","not finished",1
"1193","not in",1
"1194","novel in",1
"1195","novels i",1
"1196","now im",1
"1197","of april",1
"1198","of books",1
"1199","of four",1
"1200","of kings",1
"1201","of looking",1
"1202","opportunity to",2
"1203","picked to",1
"1204","plot master",1
"1205","postpone my",1
"1206","process of",1
"1207","progress ve",1
"1208","quality of",1
"1209","read considering",1
"1210","read the",1
"1211","reading books",1
"1212","refreshing i",1
"1213","relax and",1
"1214","returning to",1
"1215","ring is",1
"1216","russian novel",1
"1217","say its",1
"1218","season took",1
"1219","secondly i",1
"1220","see i",1
"1221","several hefty",1
"1222","so far",1
"1223","so now",1
"1224","still feels",1
"1225","stories as",1
"1226","successfully began",1
"1227","surprisingly easy",1
"1228","surprisingly refreshing",1
"1229","thats a",1
"1230","the business",1
"1231","the fellowship",1
"1232","the last",1
"1233","the mood",1
"1234","the plot",1
"1235","the process",1
"1236","the progress",1
"1237","the quality",1
"1238","the ring",1
"1239","this season",1
"1240","though this",1
"1241","time and",2
"1242","to it",1
"1243","to know",1
"1244","to postpone",1
"1245","to read",2
"1246","to relax",1
"1247","to say",2
"1248","tolkien and",1
"1249","took a",1
"1250","ve been",1
"1251","ve made",1
"1252","ve picked",1
"1253","virginia woolf",1
"1254","was a",2
"1255","week of",1
"1256","weird to",1
"1257","will see",1
"1258","with my",3
"1259","woolf experience",1
"1260","working for",1
"1261","writing i",1
"1262","years and",1
"1263","years is",1
"1264","you will",1
"1265","a while",1
"1266","after staring",1
"1267","and all",1
"1268","anything but",1
"1269","at it",1
"1270","but after",1
"1271","but it",2
"1272","cake my",1
"1273","cheering he",1
"1274","dig in",1
"1275","face in",1
"1276","he started",1
"1277","his face",1
"1278","hoping howie",1
"1279","howie would",1
"1280","i was",5
"1281","it for",1
"1282","it seemed",1
"1283","it than",1
"1284","like he",1
"1285","made but",1
"1286","more scared",1
"1287","my sister",1
"1288","of us",1
"1289","scared of",1
"1290","seemed like",1
"1291","sister made",1
"1292","smash his",1
"1293","staring at",1
"1294","started to",1
"1295","than anything",1
"1296","the cake",1
"1297","to dig",1
"1298","us cheering",1
"1299","was hoping",1
"1300","was more",1
"1301","while and",1
"1302","would smash",1
"1303","a powerful",1
"1304","a radiant",1
"1305","an antiinflammatory",1
"1306","and discoloration",1
"1307","and elasticity",1
"1308","and luminous",1
"1309","and toning",1
"1310","antiinflammatory that",1
"1311","antioxidant that",1
"1312","antioxidant therapiesvitamin",1
"1313","appearance of",1
"1314","benefits enhances",1
"1315","c ester",1
"1316","contains dmae",1
"1317","contours an",1
"1318","diminishes the",1
"1319","discoloration imparts",1
"1320","dmae which",1
"1321","elasticity diminishes",1
"1322","enhances facial",1
"1323","enhances the",1
"1324","ester i",1
"1325","facial contours",1
"1326","fine lines",1
"1327","firming and",1
"1328","firmness and",1
"1329","i patented",1
"1330","imparts a",1
"1331","improves firmness",1
"1332","lines wrinkles",1
"1333","luminous appearance",1
"1334","of fine",1
"1335","of other",1
"1336","other antioxidant",1
"1337","patented a",1
"1338","powerful antioxidant",1
"1339","provides firming",1
"1340","radiant smooth",1
"1341","smooth and",1
"1342","strength of",1
"1343","that enhances",1
"1344","that improves",1
"1345","the appearance",1
"1346","the strength",1
"1347","therapiesvitamin c",1
"1348","toning benefits",1
"1349","which provides",1
"1350","wrinkles and",1
"1351","but to",2
"1352","condemn the",1
"1353","did not",1
"1354","for i",2
"1355","i did",1
"1356","not come",1
"1357","save the",1
"1358","the world",2
"1359","to condemn",1
"1360","to save",1
"1361","world but",1
"1362","a corner",1
"1363","a salesman",1
"1364","age i",1
"1365","at home",1
"1366","been trusting",1
"1367","being at",1
"1368","breaking into",1
"1369","changed my",1
"1370","corner of",1
"1371","curled up",1
"1372","day when",1
"1373","door in",1
"1374","every door",1
"1375","guy tried",1
"1376","guy would",1
"1377","had one",1
"1378","has changed",1
"1379","have never",1
"1380","haven had",1
"1381","her and",2
"1382","her sister",1
"1383","hiding with",1
"1384","home my",1
"1385","home with",1
"1386","hoping the",1
"1387","house her",1
"1388","i haven",1
"1389","i remember",1
"1390","into our",1
"1391","it scarred",1
"1392","kitchen hiding",1
"1393","leave it",1
"1394","me i",1
"1395","mom one",1
"1396","mom was",1
"1397","my mind",1
"1398","my mom",2
"1399","never been",1
"1400","of age",1
"1401","of them",2
"1402","one day",1
"1403","one that",1
"1404","phone hoping",1
"1405","phone to",1
"1406","remember being",1
"1407","salesman tried",1
"1408","scarred me",1
"1409","since this",1
"1410","sister when",1
"1411","that has",1
"1412","the guy",2
"1413","the house",1
"1414","the kitchen",1
"1415","the phone",2
"1416","them since",1
"1417","to her",1
"1418","tried breaking",1
"1419","tried every",1
"1420","trusting of",1
"1421","up in",2
"1422","was curled",1
"1423","was four",1
"1424","was on",2
"1425","when a",1
"1426","when i",1
"1427","when the",1
"1428","would leave",1
"1429","a book",1
"1430","a show",2
"1431","always better",1
"1432","better than",1
"1433","book is",1
"1434","i if",1
"1435","if its",1
"1436","is always",2
"1437","its a",3
"1438","kid wants",1
"1439","point i",1
"1440","show about",1
"1441","show that",1
"1442","than craccc",1
"1443","that your",1
"1444","wants a",1
"1445","your kid",1
"1446","a bomb",1
"1447","a certain",1
"1448","a killing",1
"1449","a random",1
"1450","a situation",1
"1451","a white",1
"1452","airport and",1
"1453","an airport",1
"1454","and asianmiddle",1
"1455","and money",1
"1456","and one",1
"1457","and reasons",1
"1458","and smart",1
"1459","and statistics",1
"1460","and there",2
"1461","any other",1
"1462","are few",1
"1463","are statistics",1
"1464","asianmiddle eastern",1
"1465","be politically",1
"1466","believe that",1
"1467","best possibilities",1
"1468","black men",1
"1469","blacks and",1
"1470","blacks or",1
"1471","bomb so",1
"1472","bomb threat",1
"1473","building there",1
"1474","by checking",1
"1475","by trying",1
"1476","certain race",1
"1477","check or",1
"1478","checking black",1
"1479","checking the",1
"1480","code to",1
"1481","comes from",1
"1482","conduct a",1
"1483","descents and",1
"1484","disarm the",1
"1485","do in",1
"1486","eastern descents",1
"1487","eastern people",1
